conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,year,intensity_level
11342,India,Government of India,141,,GNLA,1163,,2012,1
11342,India,Government of India,141,,GNLA,1163,,2014,1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1967,2
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1969,1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1970,1
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1973,2
11344,Sudan,Government of Sudan,112,,Republic of South Sudan,1129,,2011,1
11345,South Sudan,Government of South Sudan,113,,"SSDM/A, SSLM/A","1108, 1124",,2011,1
11345,South Sudan,Government of South Sudan,113,,SSLM/A,1124,,2012,1
11345,South Sudan,Government of South Sudan,113,,"SPLM/A - IO, SSDM/A - Cobra Faction","3563, 4226",,2013,1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2014,2
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2015,1
11345,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2016,1
11345,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2017,1
11345,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2018,1
11345,South Sudan,Government of South Sudan,113,,NAS,6794,,2019,1
11345,South Sudan,Government of South Sudan,113,,NAS,6794,,2020,1
11345,South Sudan,Government of South Sudan,113,,"NAS, SPLM/A - IO - Kitgwang faction","6794, 8201",,2021,1
11346,Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1126, 1127",,2011,2
11346,Libya,Government of Libya,111,,ASL,7046,,2013,1
11346,Libya,Government of Libya,111,,"Forces of the House of Representatives, Zintan Military Council","5802, 5940",,2014,1
11346,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,,2015,1
11346,Libya,Government of Libya,111,,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL","5802, 6814, 6893",,2017,1
11346,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2019,2
11346,Libya,Government of Libya,111,Government of Turkey,Forces of the House of Representatives,5802,,2020,1
11347,Mali,Government of Mali,72,,AQIM,539,,2009,1
11347,Mali,Government of Mali,72,,"Ansar Dine, Military faction (Red Berets)","1157, 1164",,2012,1
11347,Mali,Government of Mali,72,"Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion","1157, 1161, 3481, 539",,2013,1
11347,Mali,Government of Mali,72,"Government of Bangladesh, Government of Belgium, Government of Benin, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Chad, Government of China, Government of Egypt, Government of Estonia, Government of Finland, Government of France, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Liberia, Government of Mauritania, Government of Nepal, Government of Niger, Government of Nigeria, Government of Norway, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Tajikistan, Government of Togo, Government of United Kingdom, Government of United States of America","al-Murabitun, AQIM","4376, 539",,2014,1
11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)","Ansar Dine, AQIM","1157, 539",,2015,1
